"nome","data_inizio_produzione","data_fine_produzione","modello"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Panda"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Serie2"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Tipo"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","500L"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Serie3"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Passat"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","6"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","F8Spider"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","3"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","2"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Puma"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","A4"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Jimny"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Caddy"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Portofino"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","ModelY"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","A6"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Lodgy"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Vitara"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","MX5"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","up!"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Fabia"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","GTC4Lusso"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Prius"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","CX3"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Karoq"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Ignis"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Superb"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Leon"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Yaris"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Touareg"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Serie1"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Duster"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Ecosport"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Aygo"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Fiesta"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Serie4"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","T-Cross"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","A5"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Tiguan"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","SanderoStepway"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Sanderp"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Kuga"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","488"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Scala"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","A1"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Dokker"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Focus"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","T-Roc"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","CHR"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Polo"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","500"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Celerio"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","Model3"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","X1"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Tarraco"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","812Superfast"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Swift"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Corolla"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Arona"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","500X"
"Premium","2000-05-22 22:10:25","2020-05-22 22:10:25","Ateca"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","A3"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Ibiza"
"Sport","2000-05-22 22:10:25","2020-05-22 22:10:25","Golf"
"Performance","2000-05-22 22:10:25","2020-05-22 22:10:25","ModelX"
"Luxury","2000-05-22 22:10:25","2020-05-22 22:10:25","Arteon"
"Business","2000-05-22 22:10:25","2020-05-22 22:10:25","Octavia"
