"modello","cilindrata","cavalli_fiscali","velocita_massima","numero_posti","alimentazione","classe_veicolo","casa_produttrice"
"Panda","2200","24","190","7","elettrico","altro","Fiat"
"500","1000","24","190","7","benzina","moto","Fiat"
"Tipo","1800","24","210","5","elettrico","auto","Fiat"
"500X","1400","26","190","6","metano","trattore","Fiat"
"500L","2000","24","180","3","metano","moto","Fiat"
"Fiesta","1800","12","170","6","benzina","auto","Ford"
"Puma","900","12","220","7","altro","auto","Ford"
"Focus","1300","12","155","7","elettrico","trattore","Ford"
"Kuga","2000","27","220","5","diesel","trattore","Ford"
"Ecosport","1000","22","180","7","benzina","auto","Ford"
"T-Roc","1100","29","175","5","metano","moto","Volkswagen"
"T-Cross","1400","30","150","3","altro","motociclo","Volkswagen"
"up!","2200","46","170","6","elettrico","camion","Volkswagen"
"Polo","2000","33","215","5","elettrico","camion","Volkswagen"
"Golf","1100","56","180","4","diesel","trattore","Volkswagen"
"Caddy","1800","14","190","3","metano","camion","Volkswagen"
"Tiguan","1400","9","200","5","diesel","motociclo","Volkswagen"
"Touareg","2000","8","215","5","elettrico","motociclo","Volkswagen"
"Passat","1100","32","195","7","altro","trattore","Volkswagen"
"Arteon","1200","47","190","6","gpl","auto","Volkswagen"
"Celerio","1200","34","150","7","elettrico","altro","Suzuki"
"Ignis","900","26","190","4","benzina","motociclo","Suzuki"
"Swift","900","49","170","3","metano","camion","Suzuki"
"Vitara","1300","55","170","3","gpl","auto","Suzuki"
"Jimny","1300","29","185","6","benzina","camion","Suzuki"
"A1","1300","32","150","7","benzina","altro","Audi"
"A3","1500","32","185","7","gpl","trattore","Audi"
"A4","1300","22","195","6","benzina","camion","Audi"
"A5","1600","26","160","5","altro","moto","Audi"
"A6","1300","26","150","4","diesel","trattore","Audi"
"Serie1","1500","10","205","4","metano","camion","BMW"
"Serie2","1300","12","175","5","altro","auto","BMW"
"Serie3","1100","14","190","5","diesel","moto","BMW"
"Serie4","1400","29","210","6","gpl","moto","BMW"
"X1","2200","7","195","5","elettrico","moto","BMW"
"Portofino","1100","12","190","7","benzina","trattore","Ferrari"
"488","1800","10","155","5","gpl","auto","Ferrari"
"812Superfast","2200","46","205","5","gpl","motociclo","Ferrari"
"F8Spider","1000","10","205","6","gpl","moto","Ferrari"
"GTC4Lusso","2200","32","175","7","diesel","motociclo","Ferrari"
"Sanderp","1800","8","205","3","diesel","camion","Dacia"
"Duster","1800","50","195","4","benzina","auto","Dacia"
"Lodgy","1000","8","205","6","gpl","camion","Dacia"
"Dokker","2000","56","150","6","elettrico","trattore","Dacia"
"SanderoStepway","900","26","220","5","elettrico","auto","Dacia"
"Fabia","2200","25","170","3","gpl","trattore","Skoda"
"Scala","1800","14","150","3","altro","camion","Skoda"
"Karoq","1200","32","150","6","diesel","trattore","Skoda"
"Octavia","1300","24","170","7","elettrico","auto","Skoda"
"Superb","1600","22","180","4","benzina","camion","Skoda"
"Ibiza","2200","33","150","6","altro","trattore","Seat"
"Arona","2000","22","180","3","metano","motociclo","Seat"
"Leon","1100","48","185","4","elettrico","camion","Seat"
"Ateca","900","49","215","5","elettrico","altro","Seat"
"Tarraco","1200","26","155","4","elettrico","camion","Seat"
"Aygo","2000","30","170","4","gpl","trattore","Toyota"
"Yaris","1400","12","155","4","metano","camion","Toyota"
"Corolla","1500","55","165","6","altro","altro","Toyota"
"CHR","2200","28","170","6","altro","motociclo","Toyota"
"Prius","1800","33","195","5","benzina","auto","Toyota"
"2","900","9","185","3","benzina","trattore","Mazda"
"3","2200","45","175","6","metano","altro","Mazda"
"CX3","2000","27","185","7","altro","camion","Mazda"
"MX5","1100","14","205","4","diesel","moto","Mazda"
"6","1200","31","195","7","diesel","trattore","Mazda"
"Model3","1800","24","175","6","elettrico","auto","Tesla"
"ModelX","1100","46","210","7","altro","trattore","Tesla"
"ModelY","2200","34","200","4","diesel","altro","Tesla"
