"nome","direttore","contatto_telefonico","indirizzo_sede"
"Suzuki","Alfredo","2408109380","Auronzo di Cadore"
"Toyota","Aiace","1472938749","Avelengo"
"Tesla","Abenzio","4387398520","Aymavilles"
"Mazda","Alvaro","1208300387","Atessa"
"Ferrari","Alamanno","0924283687","Auditore"
"Dacia","Acrisio","3209857837","Augusta"
"Volkswagen","Aloisio","3463546454","Ateleta"
"BMW","Alvaro","2104801801","Ayas"
"Seat","Adelardo","2103894798","Attimis"
"Skoda","Aidano","1409023480","Azeglio"
"Audi","Albano","2364569568","Asuni"
"Fiat","Adelchi","1482379878","Atri"
"Ford","Adeodato","1248274980","Avellino"
